id_left,id_right,record_left,record_right,label
1,2973,"COL Name VAL Liang L. COL Affiliation VAL 中国科学院计算技术研究所智能信息处理重点实验室 COL Research Interests VAL  COL Papers VAL Yunbin Tu, Liang Li, Li Su, Zheng-Jun Zha, Qingming Huang. SMART: Syntax-calibrated Multi-Aspect Relation Transformer for Change Captioning, IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2024 COL Projects VAL 国家自然科学基金委优青项目，跨媒体内容理解，项目负责人",COL Name VAL Li Liang COL Affiliation VAL 苏州科技大学马克思主义学院 COL Papers VAL 中国中央民族大学校报发表论文|北方民族大学校报发表论文 COL Projects VAL 教育部境外研究项目|国家自然科学基金委及敦煌研究院联合培养项目,0
1,4120,"COL Name VAL Liang L. COL Affiliation VAL 中国科学院计算技术研究所智能信息处理重点实验室 COL Research Interests VAL  COL Papers VAL Yunbin Tu, Liang Li, Li Su, Zheng-Jun Zha, Qingming Huang. SMART: Syntax-calibrated Multi-Aspect Relation Transformer for Change Captioning, IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2024 COL Projects VAL 国家自然科学基金委优青项目，跨媒体内容理解，项目负责人","COL Name VAL 李亮 COL Affiliation VAL 华中科技大学 COL Papers VAL Liang Li, et al., Huygens-Fresnel Picture for High Harmonic Generation in Solids, Physical Review Letters, 2021, 127(22): 0-223201|Liang Li, et al., Dynamic Core Polarization in High Harmonic Generation from Solids, Physical Review Letters, 2021, 126(18): 0-187401 COL Projects VAL",0
1,6640,"COL Name VAL Liang L. COL Affiliation VAL 中国科学院计算技术研究所智能信息处理重点实验室 COL Research Interests VAL  COL Papers VAL Yunbin Tu, Liang Li, Li Su, Zheng-Jun Zha, Qingming Huang. SMART: Syntax-calibrated Multi-Aspect Relation Transformer for Change Captioning, IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2024 COL Projects VAL 国家自然科学基金委优青项目，跨媒体内容理解，项目负责人","COL Name VAL Liang L. COL Affiliation VAL 华北电力大学新能源学院 COL Papers VAL Liang Li, Xin Jin, Na Liu, et al.Efficient Moisture Resistant Perovskite Solar Cell with Nanostructure Featuring 3D Amine Motif[[J].Solar RRL,2018,2:1800069|Liang Li, Ning Zhou, Qi Chen, et al.Unraveling the Growth of Hierarchical Quasi-2D/3D Perovskite and Carrier Dynamics[[J].Journal of Physical Chemistry Letter,2018,9:1124-1132 COL Projects VAL 博士后面上项目|国家自然科学基金青年基金项目",0
1,7279,"COL Name VAL Liang L. COL Affiliation VAL 中国科学院计算技术研究所智能信息处理重点实验室 COL Research Interests VAL  COL Papers VAL Yunbin Tu, Liang Li, Li Su, Zheng-Jun Zha, Qingming Huang. SMART: Syntax-calibrated Multi-Aspect Relation Transformer for Change Captioning, IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2024 COL Projects VAL 国家自然科学基金委优青项目，跨媒体内容理解，项目负责人","COL Name VAL 李亮 COL Affiliation VAL 广西大学外国语学院英文系 COL Papers VAL 李亮.试论英语文学翻译中对中西不同文化意象的处理方法J].芒种,2013(3):201-202. |李亮.评《老友记》中的幽默文化J].电影文学,2013(12):133-134. COL Projects VAL 2016─2019，主持广西高等教育本科教学改革工程项目：“一带一路”背景下地方性高校商务英语口语PBL教学模式研究与实践.",0
1,7784,"COL Name VAL Liang L. COL Affiliation VAL 中国科学院计算技术研究所智能信息处理重点实验室 COL Research Interests VAL  COL Papers VAL Yunbin Tu, Liang Li, Li Su, Zheng-Jun Zha, Qingming Huang. SMART: Syntax-calibrated Multi-Aspect Relation Transformer for Change Captioning, IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2024 COL Projects VAL 国家自然科学基金委优青项目，跨媒体内容理解，项目负责人","COL Name VAL Li Liang COL Affiliation VAL 宁大 COL Papers VAL Revisiting the Spectral-Energy Correlations of GRBs with Fermi Data I: Model-wise Properties, The Astrophysical Journal Supplement Series, 2023-06|Self-Similarities and Power-laws in the Time-resolved Spectra of GRB 190114C, GRB 130427A, GRB 160509A, and GRB 160625B, The Astrophysical Journal, 2023-03 COL Projects VAL",0
3,5094,"COL Name VAL Ying W. COL Affiliation VAL 中国科学院计算技术研究所智能计算机研究中心 COL Research Interests VAL 专用处理器体系结构|集成芯片系统 COL Papers VAL Lian Liu, Ying Wang, Weiwei Chen, Xiandong Zhao, Huawei Li, Xiaowei Li, Yinhe Han. An Automatic Neural Network Architecture-and-Quantization Joint Optimization Framework for Efficient Model Inference, IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems, 2024 COL Projects VAL 基金委面上项目，面向嵌入式深度神经网络处理器的低功耗设计技术研究，项目负责人",COL Name VAL 王颖 COL Affiliation VAL 武汉大学法学院 COL Papers VAL 《刑事诉讼法典化背景下证据排除规范的体系重构》，《华东政法大学学报》2023年第4期|《企业附条件不起诉：改革困境与制度突破》，《清华法学》2023年第3期 COL Projects VAL 教育部人文社科特别委托项目《香港国安法》恐怖活动罪体系研究|中国博士后基金特别资助项目“刑事证据审查：构成要件与证明”,0
3,13707,"COL Name VAL Ying W. COL Affiliation VAL 中国科学院计算技术研究所智能计算机研究中心 COL Research Interests VAL 专用处理器体系结构|集成芯片系统 COL Papers VAL Lian Liu, Ying Wang, Weiwei Chen, Xiandong Zhao, Huawei Li, Xiaowei Li, Yinhe Han. An Automatic Neural Network Architecture-and-Quantization Joint Optimization Framework for Efficient Model Inference, IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems, 2024 COL Projects VAL 基金委面上项目，面向嵌入式深度神经网络处理器的低功耗设计技术研究，项目负责人","COL Name VAL Ying Wang COL Affiliation VAL 北京航空航天大学材料科学与工程学院材料化学系 COL Papers VAL Yunchi Zhou, Ying Wang*, et al., Using Machine Learning to Predict Adverse Effects..., Environmental Science & Technology, 2023, 57, 17786−17795.|Zihan Xu, Ying Wang*, et al., Sturgeons are biodiversity priorities..., Environmental Science & Technology, 2022, 56, 9847−9850. COL Projects VAL 北京市自然科学基金项目|国家重点研发计划青年科学家项目子任务",0
21,12514,"COL Name VAL 胡瑜 COL Affiliation VAL  COL Research Interests VAL 计算机系统结构|神经网络架构搜索|自动驾驶 COL Papers VAL Wei Li, Yu Hu, Yinhe Han, and Xiaowei Li, KFS-LIO: Key-Feature Selection for Lightweight Lidar Inertial Odometry, in Proceedings of IEEE International Conference on Robotics and Automation (ICRA), 2021 COL Projects VAL 国家自然科学基金面上项目，可微分采样神经网络架构搜索轻量化技术研究，项目负责人","COL Name VAL 胡瑜 COL Affiliation VAL 中科院 COL Papers VAL Longxing Yang, Yu Hu*, Shun Lu, Zihao Sun, Jilin Mei, Yiming Zeng, Zhiping Shi, Yinhe Han, Xiaowei Li, DDSAS: Dynamic and Differentiable Space-Architecture Search, in Proceedings of Asian Conference on Machine Learning (ACML), 2021|Shun Lu, Yu Hu*, Longxing Yang, Zihao Sun, Jilin Mei, Yiming Zeng, Xiaowei Li, DU-DARTS: Decreasing the Uncertainty of Differentiable Architecture Search, in Proceedings of British Machine Vision Conference (BMVC), 2021 COL Projects VAL 国家自然科学基金面上项目，面向静态功耗优化的SRAM 型FPGA布线算法研究，项目负责人|国家自然科学基金面上项目，面向多个物理缺陷的纳米尺度极大规模数字电路故障诊断，项目负责人",0
40,3297,"COL Name VAL 王鹏 COL Affiliation VAL 中国科学院计算技术研究所装备智能系统研究中心 COL Research Interests VAL 异构数据融合分析|目标态势数据挖掘|时空航运网络计算 COL Papers VAL Peng Wang, Qinyou Hu, Yongjun Xu, Qiang Mei, Fei Wang: Evaluation methods of port dominance: A critical review, Ocean and Coastal Management, 2021, 215: 105954 (SCI中科院一区，IF:4.8) COL Projects VAL 国家重点研发计划（2018YFC1407400），通航环境安全保障信息资源体系及云服务平台技术研究与开发（2018-2022），子课题负责人","COL Name VAL 王鹏 COL Affiliation VAL 中国石油大学（华东）材料科学与工程学院材料加工工程系 COL Papers VAL WANG P, Qiao Y J, Qi W, et al. Preparation and Properties Study of Cr on FeCrAl Cladding Materials [[J]. Frontiers in Materials, 2021, 8, 47|WANG P, Qi W, YANG K*, et al. Systematic investigation of the oxidation behavior of Fe - Cr - Al cladding alloys in high - temperature steam [[J]. Corrosion Science, 2022, 207, 110595 COL Projects VAL 2019.12 - 2022.11，先进核燃料元件设计研究及材料研制（2019YFB1901000），科技部国家重点研发计划，参与|2021.12 - 2025.11，多主相钕铁硼磁体重稀土极致应用（2021YFB3500100），科技部国家重点研发计划，参与",0
40,7739,"COL Name VAL 王鹏 COL Affiliation VAL 中国科学院计算技术研究所装备智能系统研究中心 COL Research Interests VAL 异构数据融合分析|目标态势数据挖掘|时空航运网络计算 COL Papers VAL Peng Wang, Qinyou Hu, Yongjun Xu, Qiang Mei, Fei Wang: Evaluation methods of port dominance: A critical review, Ocean and Coastal Management, 2021, 215: 105954 (SCI中科院一区，IF:4.8) COL Projects VAL 国家重点研发计划（2018YFC1407400），通航环境安全保障信息资源体系及云服务平台技术研究与开发（2018-2022），子课题负责人",COL Name VAL 王鹏 COL Affiliation VAL 江苏师范大学外国语学院 COL Papers VAL  COL Projects VAL,0
